Spain, Population size (abridged)	Last modified: 08 May 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1910       43            113752.96       105695.46       219448.42
     1910       44            122921.69       122045.34       244967.03
     1910       45            111730.27       101706.05       213436.32
     1910       46             85613.14        82380.73       167993.87
     1910       47            119431.49       108190.37       227621.86
     1910       48             81353.45        82194.98       163548.43
     1910       49            201080.02       171853.07       372933.09
     1910       50             63791.41        66473.21       130264.62
     1910       51             92697.15        88226.33       180923.48
     1910       52             68304.35        67850.09       136154.44
     1910       53             92672.31        79656.92       172329.23
     1910       54             90249.86        86051.03       176300.89
     1910       55             93358.53        82726.41       176084.94
     1910       56             65523.28        61173.88       126697.16
     1910       57             90016.25        78338.51       168354.76
     1910       58             58956.52        58416.07       117372.59
     1910       59            179925.87       138209.36       318135.23
     1910       60             50135.95        51200.88       101336.83
     1910       61             68582.99        65634.13       134217.12
     1910       62             53790.66        53069.82       106860.48
     1910       63             67507.93        61021.01       128528.94
     1910       64             69106.30        62272.96       131379.26
     1910       65             59201.66        56540.85       115742.51
     1910       66             44090.57        43693.10        87783.67
     1910       67             55235.94        48167.37       103403.31
     1910       68             33299.70        31992.03        65291.73
     1910       69             91579.89        72559.61       164139.50
     1910       70             24170.04        24576.37        48746.41
     1910       71             30462.93        28885.12        59348.05
     1910       72             22064.99        22387.82        44452.81
     1910       73             25609.38        24782.12        50391.50
     1910       74             27509.55        25128.48        52638.03
     1910       75             23259.53        20548.30        43807.83
     1910       76             16066.41        15749.39        31815.80
     1910       77             18741.04        16857.88        35598.92
     1910       78             11039.40         9892.93        20932.33
     1910       79             32869.47        21730.17        54599.64
     1910       80             18959.62        13581.49        32541.11
     1910       81             15272.56        10940.12        26212.68
     1910       82             13370.03         9394.77        22764.80
     1910       83             11671.08         7937.74        19608.82
     1910       84             10062.86         6549.21        16612.07
     1910       85              8273.85         5202.90        13476.75
     1910       86              6632.14         3990.10        10622.24
     1910       87              5387.52         3065.51         8453.03
     1910       88              4430.52         2415.84         6846.36
     1910       89              3657.64         1923.06         5580.70
     1910       90              2751.35         1408.00         4159.35
     1910       91              1941.84          961.36         2903.20
     1910       92              1559.26          728.45         2287.71
     1910       93              1259.69          548.99         1808.68
     1910       94              1022.12          423.47         1445.59
     1910       95               745.33          311.41         1056.74
     1910       96               495.92          207.28          703.20
     1910       97               341.97          137.26          479.23
     1910       98               239.57           85.54          325.11
     1910       99               145.02           44.85          189.87
     1910      100               122.80           37.17          159.97
     1910      101                61.99           11.98           73.97
     1910      102                49.79           12.54           62.33
     1910      103                31.63            7.50           39.13
     1910      104                19.51            3.60           23.11
     1910      105                12.13            1.16           13.29
     1910      106                 7.06            0.67            7.73
     1910      107                 3.65            0.00            3.65
     1910      108                 2.02            0.00            2.02
     1910      109                 0.97            0.00            0.97
     1910      110+                0.00            0.00            0.00
     1911        0            218053.00       225450.00       443503.00
     1911        1            224981.00       230381.00       455362.00
     1911        2            247257.00       254211.00       501468.00
     1911        3            242499.00       247178.00       489677.00
     1911        4            237691.00       239197.00       476888.00
     1911        5            231152.00       237756.00       468908.00
     1911        6            237758.00       238681.00       476439.00
     1911        7            235976.00       238600.00       474576.00
     1911        8            237023.00       241088.00       478111.00
     1911        9            213030.00       216906.00       429936.00
     1911       10            233527.00       234102.00       467629.00
     1911       11            192548.00       195163.00       387711.00
